"Path","LineNumber","Line"
"C:\xampp\htdocs\aruvi-plus\public\css\benefits.css","42","    color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\benefits.css","47","    color: #ddd !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","150","        white-space: nowrap !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","194","        display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","195","        flex-direction: column !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","196","        justify-content: center !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","197","        gap: 5px !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","198","        padding: 0 5px !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","203","        display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","204","        flex-direction: row !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","205","        justify-content: space-between !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","206","        align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","207","        flex-wrap: wrap !important; /* Allow wrapping */"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","221","        margin: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","222","        white-space: nowrap !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","226","        font-size: 15px !important; /* Reduced from 18px-20px */"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","607","        padding: 0 5px !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\cart.css","620","        gap: 8px !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\premium_products.css","257","    display: none !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\process.css","55","    color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\process.css","60","    color: #ddd !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\product-detail.css","318","        font-size: 16px !important; /* Slightly smaller text */"
"C:\xampp\htdocs\aruvi-plus\public\css\product-detail.css","470","        display: block !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\style.css","3659","    color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\public\css\style.css","4088","        grid-template-columns: 1fr !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs-create.blade.php","39","        color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs-edit.blade.php","38","        color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","10","            height: 42px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","11","            border-radius: 50px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","12","            padding: 0 25px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","13","            font-size: 11px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","14","            font-weight: 800 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","15","            background: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","16","            color: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","17","            border: 1px solid var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","18","            display: inline-flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","19","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","20","            justify-content: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","21","            box-shadow: 0 2px 8px rgba(255, 109, 0, 0.12) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","22","            transition: all 0.3s ease !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","23","            text-transform: uppercase !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","24","            letter-spacing: 0.5px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","25","            cursor: pointer !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","26","            text-decoration: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","30","            background: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","31","            color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","32","            transform: translateY(-1px) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","33","            box-shadow: 0 4px 12px rgba(255, 109, 0, 0.2) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","37","            background: linear-gradient(135deg, var(--primary) 0%, var(--primary) 100%) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","38","            border: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","39","            color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","43","            display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","44","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","45","            gap: 12px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","49","            width: 220px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","10","            height: 42px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","11","            border-radius: 50px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","12","            padding: 0 25px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","13","            font-size: 11px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","14","            font-weight: 800 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","15","            background: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","16","            color: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","17","            border: 1px solid var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","18","            display: inline-flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","19","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","20","            justify-content: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","21","            box-shadow: 0 2px 8px rgba(255, 109, 0, 0.12) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","22","            transition: all 0.3s ease !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","23","            text-transform: uppercase !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","24","            letter-spacing: 0.5px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","25","            cursor: pointer !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","26","            text-decoration: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","30","            background: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","31","            color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","32","            transform: translateY(-1px) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","33","            box-shadow: 0 4px 12px rgba(255, 109, 0, 0.2) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","37","            background: linear-gradient(135deg, var(--primary) 0%, var(--primary) 100%) !important;"
